created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2024-10-25T00:00:00+00:00,1,0,0,0,55,29.7,,,,
2024-10-25T00:30:00+00:00,2,0,0,0,59,26.2,,,,
2024-10-25T01:00:00+00:00,3,0,0,0,53,28.2,,,,
2024-10-25T01:30:00+00:00,4,0,0,0,66,27.8,,,,
2024-10-25T02:00:00+00:00,5,0,0,0,54,27,,,,
2024-10-25T02:30:00+00:00,6,0,0,0,70,28.7,,,,
2024-10-25T03:00:00+00:00,7,0,0,0,66,31.6,,,,
2024-10-25T03:30:00+00:00,8,0,0,0,64,28.3,,,,
2024-10-25T04:00:00+00:00,9,0,0,0,66,27.9,,,,
2024-10-25T04:30:00+00:00,10,0,0,0,75,29.2,,,,
2024-10-25T05:00:00+00:00,11,0,0,0,79,31.5,,,,
2024-10-25T05:30:00+00:00,12,0,0,0,71,30,,,,
2024-10-25T06:00:00+00:00,13,103,254,0.35,78,30.2,,,,
2024-10-25T06:30:00+00:00,14,634,8,0.94,76,27.3,,,,
2024-10-25T07:00:00+00:00,15,767,12,2.71,70,25.5,,,,
2024-10-25T07:30:00+00:00,16,1071,302,2.16,81,27.1,,,,
2024-10-25T08:00:00+00:00,17,361,361,2.26,76,25.7,,,,
2024-10-25T08:30:00+00:00,18,1626,255,4.66,80,29,,,,
2024-10-25T09:00:00+00:00,19,2232,240,5.34,50,26.5,,,,
2024-10-25T09:30:00+00:00,20,2594,258,6.76,57,31.3,,,,
2024-10-25T10:00:00+00:00,21,2767,396,7.95,66,26.1,,,,
2024-10-25T10:30:00+00:00,22,851,851,4.49,69,26.8,,,,
2024-10-25T11:00:00+00:00,23,3201,476,9.84,63,30.3,,,,
2024-10-25T11:30:00+00:00,24,3964,237,10.07,74,28.8,,,,
2024-10-25T12:00:00+00:00,25,12,4079,12,55,30.2,,,,
2024-10-25T12:30:00+00:00,26,396,3706,10.75,72,26.3,,,,
2024-10-25T13:00:00+00:00,27,326,3749,9.48,74,26.7,,,,
2024-10-25T13:30:00+00:00,28,398,3257,9.9,75,26.2,,,,
2024-10-25T14:00:00+00:00,29,222,2843,8.92,50,31.7,,,,
2024-10-25T14:30:00+00:00,30,120,2322,7.96,53,27.4,,,,
2024-10-25T15:00:00+00:00,31,319,2166,6.51,51,26.4,,,,
2024-10-25T15:30:00+00:00,32,230,1884,6.13,66,27.4,,,,
2024-10-25T16:00:00+00:00,33,377,1648,4.7,57,26.4,,,,
2024-10-25T16:30:00+00:00,34,216,1114,3.34,75,31.7,,,,
2024-10-25T17:00:00+00:00,35,91,1096,2.48,59,28.1,,,,
2024-10-25T17:30:00+00:00,36,2,377,2.19,53,28.8,,,,
2024-10-25T18:00:00+00:00,37,75,261,1.58,78,30.6,,,,
2024-10-25T18:30:00+00:00,38,0,0,0,62,27.5,,,,
2024-10-25T19:00:00+00:00,39,0,0,0,90,30.2,,,,
2024-10-25T19:30:00+00:00,40,0,0,0,88,27.8,,,,
